=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.08.23 13:08:06 =~=~=~=~=~=~=~=~=~=~=~=
730 0.056012, 0.043793, 1805, 1417
39268, 0.019355, 0.007136, 1805, 1415
47288, 0.056012, 0.043793,4294965992, 0.031574, 0.031574, 1805, 1417
1, 5.139101, 5.126882, 1805, 1415
34, 1.778886, 5.090225, 1807, 1416
37, 1.632258, 5.126882, 1805, 1415
46, 1.326784, 3.599511, 1805, 1415
83, 0.532551, 2.206549, 1805, 1415
119, 0.214858, 1.119062, 1805, 1417
160, 0.080450, 0.447019, 1805, 1415
198, 0.043793, 0.104888, 1805, 1415
241, 0.007136, 0.007136, 1807, 1416
326, 0.043793, 0.043793, 1805, 1417
0, 5.151319, 5.139101, 1807, 1416
34, 1.742229, 5.102444, 1805, 1415
37, 1.595601, 5.139101, 1805, 1415
44, 1.339003, 3.697263, 1805, 1417
81, 0.556989, 2.230987, 1805, 1417
120, 0.214858, 1.119062, 1805, 1415
158, 0.092669, 0.459238, 1805, 1415
195, 0.031574, 0.117107, 1805, 1417
0, 5.151319, 5.139101, 1805, 1415
33, 1.778886, 5.102444, 1805, 1415
36, 1.607820, 5.139101, 1805, 1415
44, 1.326784, 3.697263, 1807, 1416
77, 0.581427, 2.243206, 1807, 1420
120, 0.227077, 1.143499, 1805, 1415
158, 0.080450, 0.459238, 1805, 1415
195, 0.043793, 0.117107, 1805, 1417
351, 0.007136, 0.019355, 1805, 1415
0, 5.151319, 5.151319, 1805, 1415
1, 5.187976, 5.187976, 1805, 1419
25, 5.102444, 5.151319, 1803, 1413
43, 1.375660, 4.051613, 1805, 1415
81, 0.593646, 2.267644, 1805, 1415
119, 0.239296, 1.155718, 1805, 1415
157, 0.092669, 0.483675, 1805, 1415
196, 0.031574, 0.117107, 1805, 1415
1, 5.163538, 5.163538, 1805, 1415
34, 1.766667, 5.102444, 1805, 1415
34, 1.620039, 5.139101, 1805, 1417
44, 1.339003, 3.721701, 1805, 1417
83, 0.556989, 2.230987, 1805, 1415
119, 0.227077, 1.119062, 1807, 1416
158, 0.092669, 0.459238, 1805, 1415
197, 0.043793, 0.117107, 1805, 1415
1, 5.151319, 5.139101, 1805, 1415
34, 1.730010, 5.102444, 1807, 1416
34, 1.632258, 5.139101, 1807, 1418
43, 1.339003, 3.721701, 1807, 1418
81, 0.544770, 2.230987, 1805, 1417
121, 0.227077, 1.119062, 1805, 1415
